# Lista completa de marcas de cosmeticos capilares
# Formato: Marca	Marketplace	URL

Gigita	Beleza na Web	https://gigita.com.br/
Girass	Beleza na Web	https://girass.com.br/
Glatten Professional	Beleza na Web	https://glatten.com.br/
GO.	Beleza na Web	https://gohair.com.br/
Gota Dourada	Beleza na Web	https://gotadourada.com.br/
Gotas Verdes	Beleza na Web	https://gotasverdes.com.br/
Grandha	Beleza na Web	https://grandha.com.br/
Grankera	Mercado Livre	https://grankera.com.br/
Grecin	Mercado Livre	https://grecin.com.br/
Griffus	Beleza na Web	https://griffus.com.br/
Habito Cosmeticos	Mercado Livre	https://habitocosmeticos.com.br/
Hair Extrattus	Beleza na Web	https://hairextrattus.com.br/
Haissa Profissional	Beleza na Web	https://haissa.com.br/
Hamarys Cosmetic	Beleza na Web	https://hamaryscosmetic.com.br/
Hanna Professional	Beleza na Web	https://hannaprofessional.com.br/
Hanova	Beleza na Web	https://hanova.com.br/
Haskell	Beleza na Web	https://haskellcosmeticos.com.br/
HBeauty Professional	Beleza na Web	https://hbeautyprofessional.com.br/
Hboni	Mercado Livre	https://hboni.com.br/
Hi Hair Care	Beleza na Web	https://hihaircare.com.br/
Hiato Fitocosmeticos	Beleza na Web	https://hiatofitocosmeticos.com.br/
Hidralise	Mercado Livre	https://hidralise.com.br/
Hidraliso	Beleza na Web	https://hidraliso.com.br/
Hidratei	Beleza na Web	https://hidrateicosmetics.site/product-category/produtos/
Hobety Profissional	Beleza na Web	https://hobety.com.br/
Hoka Professional	Beleza na Web	https://hokaprofessional.com.br/
Homme Marine	Mercado Livre	https://hommemarine.com.br/
Human	Beleza na Web	https://humanhaircare.com.br/
iLike Professional	Beleza na Web	https://ilike.com.br/
Imabelle	Beleza na Web	https://imabelle.com.br/
Imagination	Beleza na Web	https://imaginationcosmeticos.com.br/
Imunehair	Beleza na Web	https://imunehair.com.br/
In Voga	Beleza na Web	https://invogaprofessional.com.br/
InBlue Professional	Beleza na Web	https://inblueprofessional.com.br/
Inoar	Beleza na Web	https://inoar.com.br/
Instinto Natural	Beleza na Web	https://instintonatural.com.br/
Iorus Professional	Beleza na Web	https://iorus.com.br/
Issue Professional	Beleza na Web	https://issueprofessional.com.br/
Itallian Hairtech	Beleza na Web	https://itallianhairtech.com.br/
Iti Hair Profissional	Beleza na Web	https://itiprofissional.com.br/
IX1975	Beleza na Web	https://ix1975.com.br/
Jacques Janine Professionnel	Beleza na Web	https://jacquesjanine.com.br/
Japinha Cosmeticos	Beleza na Web	https://japinhacosmeticos.com.br/
Jyothi Cosmeticos	Beleza na Web	https://jyothi.com.br/
K-Bell	Mercado Livre	https://www.kbell.com.br/
Kadma Kweeze	Mercado Livre	https://kadmakweeze.com.br/
Kah-Noa	Beleza na Web	https://kahnoa.com.br/
Kali Cosmetics	Beleza na Web	https://kalicosmetics.com.br/
Kamaleao Color	Beleza na Web	https://kamaleaocolor.com.br/
Karina	Beleza na Web	https://www.karinacosmeticos.com.br/
Kelma	Beleza na Web	https://kelma.com.br/
Kelse Pro Skin	Beleza na Web	https://kelseproskin.com.br/
Keragen	Beleza na Web	https://www.skafe.com.br/
Keraton	Beleza na Web	https://kera.com.br/
Khalili For Woman	Beleza na Web	https://khaliliforwoman.com.br/
Kiria Hair Professional	Beleza na Web	https://kiriahair.com.br/
Kiron Cosmeticos	Beleza na Web	https://kironcosmeticos.com.br/
KNUT	Beleza na Web	https://knut.com.br/
Kostume	Mercado Livre	https://kostume.com.br/
Kpriche Professional	Beleza na Web	https://kpriche.com.br/
K.Pro	Beleza na Web	https://kpro.com.br/
L&A	Mercado Livre	https://leacosmeticos.com.br/
La Cosmeticos	Mercado Livre	https://lacosmeticos.com.br/
La Malagueta Cosmeticos	Beleza na Web	https://lamalagueta.com.br/
Laby	Beleza na Web	https://laby.com.br/
Lacan	Beleza na Web	https://lacan.com.br/
